嘉举汐,10218,75,94,99,89.33333333333333
近轩腾,10289,98,85,75,86.0
扬菊姻,10217,86,62,100,82.66666666666667
变梧棋,10271,91,77,70,79.33333333333333
斥妹具,10259,43,94,100,79.0
吊撒涎,10243,87,65,74,75.33333333333333
伦茨仍,10236,87,65,72,74.66666666666667
渴热吻,10260,93,80,50,74.33333333333333
耿防麻,10247,39,85,97,73.66666666666667
测逃,10282,63,68,90,73.66666666666667
克六藤,10238,81,46,89,72.0
里寸,10269,93,54,67,71.33333333333333
肪剪赵,10263,53,84,71,69.33333333333333
通亩啡,10280,23,91,93,69.0
诵俩鸡,10222,73,96,37,68.66666666666667
箭密峰,10201,80,49,74,67.66666666666667
繁露缚,10274,36,92,75,67.66666666666667
箱锅酮,10296,33,76,92,67.0
氦碉赴,10210,81,83,37,67.0
险魏矣,10241,36,75,83,64.66666666666667
许快阶,10275,80,53,61,64.66666666666667
褪则萄,10208,90,46,57,64.33333333333333
坡露辞,10276,76,90,27,64.33333333333333
删工鞋,10251,17,95,81,64.33333333333333
球芜愈,10227,67,63,62,64.0
好郊辉,10221,77,45,68,63.333333333333336
苞咸鹃,10216,20,74,96,63.333333333333336
输疮死,10281,67,95,28,63.333333333333336
节宏秸,10285,81,72,36,63.0
虫瞒草,10231,59,65,61,61.666666666666664
粟泻栈,10235,88,49,48,61.666666666666664
征负独,10288,38,52,90,60.0
缠道啤,10249,42,94,42,59.333333333333336
入旦逾,10224,38,39,100,59.0
障牲佳,10248,20,75,81,58.666666666666664
容用冠,10220,56,69,51,58.666666666666664
大弘,10277,67,36,72,58.333333333333336
筏舜再,10250,95,43,33,57.0
舆窖溜,10240,52,28,91,57.0
仑莎感,10202,99,38,33,56.666666666666664
矛吼爹,10219,28,100,40,56.0
仿喘酶,10268,77,26,65,56.0
卫软飘,10211,97,24,47,56.0
敖篇斑,10297,49,97,20,55.333333333333336
袜许扰,10223,81,19,66,55.333333333333336
眉幂撵,10291,67,18,80,55.0
蜒力赴,10266,42,39,83,54.666666666666664
崩叛胁,10279,18,74,72,54.666666666666664
钧媳贾,10265,70,41,50,53.666666666666664
饲瘪婪,10287,25,40,95,53.333333333333336
倘馋翼,10215,39,91,30,53.333333333333336
烧貌葱,10205,56,42,61,53.0
荔榴槽,10234,74,46,38,52.666666666666664
痹首杆,10203,81,58,18,52.333333333333336
隶跺防,10255,32,41,82,51.666666666666664
就块协,10239,73,44,38,51.666666666666664
幕僵肚,10206,39,77,37,51.0
扮景货,10237,56,69,26,50.333333333333336
测航信,10254,36,100,14,50.0
讨芒串,10256,87,20,42,49.666666666666664
熊凄,10245,59,21,69,49.666666666666664
油闺哄,10244,28,74,46,49.333333333333336
獭规挞,10295,34,74,39,49.0
懒桂透,10262,36,61,48,48.333333333333336
沂竖肩,10226,15,47,83,48.333333333333336
陷妖学,10258,35,36,72,47.666666666666664
推们稻,10207,89,35,18,47.333333333333336
饯远详,10294,57,17,67,47.0
妊淘按,10283,33,87,19,46.333333333333336
毋刮淹,10290,53,67,19,46.333333333333336
浮氖焰,10267,55,24,59,46.0
鹏顽零,10299,36,16,84,45.333333333333336
嗜再封,10204,27,14,94,45.0
硫搭嫩,10232,68,48,19,45.0
赂绑刊,10300,13,57,64,44.666666666666664
蒜溪收,10225,10,84,40,44.666666666666664
酵牧派,10214,35,48,49,44.0
社斟,10230,69,10,53,44.0
滴颂厩,10293,45,60,25,43.333333333333336
麻馈柑,10273,23,52,54,43.0
琳规等,10228,15,58,56,43.0
架亨铅,10292,34,49,46,43.0
佯炉斋,10253,19,73,35,42.333333333333336
煎桨坝,10209,94,19,12,41.666666666666664
哆皖萌,10229,30,10,85,41.666666666666664
蒋满佣,10257,24,72,25,40.333333333333336
仿裔纳,10270,78,30,13,40.333333333333336
亲吻野,10278,47,61,12,40.0
蒜雪勋,10213,14,51,55,40.0
嘲娃溶,10233,39,47,30,38.666666666666664
瀑俗桃,10264,30,29,55,38.0
步蹲析,10252,41,52,19,37.333333333333336
谢争蟹,10272,33,45,33,37.0
核谗抡,10261,27,31,51,36.333333333333336
谬匪闽,10212,16,18,68,34.0
邮冀扇,10286,43,40,14,32.333333333333336
矿曲局,10246,36,24,35,31.666666666666668
蒙汞颗,10284,42,26,16,28.0
碘莎肺,10298,12,33,30,25.0
藏奶扮,10242,26,29,19,24.666666666666668
