诺缘谤,10336,82,72,99,84.33333333333333
噬愈榔,10311,85,65,98,82.66666666666667
耙民潮,10342,88,59,98,81.66666666666667
驶本套,10316,63,93,83,79.66666666666667
描奸耍,10317,81,83,66,76.66666666666667
窟根,10338,85,88,56,76.33333333333333
乙栈恢,10324,88,47,84,73.0
嘿敬陀,10347,91,78,48,72.33333333333333
纷血澎,10327,63,83,68,71.33333333333333
庭漓消,10318,85,91,37,71.0
播勘赵,10307,90,40,76,68.66666666666667
筋讨图,10343,54,95,53,67.33333333333333
坟约错,10325,23,79,99,67.0
窘慎垫,10341,53,95,51,66.33333333333333
眨村澜,10340,26,97,75,66.0
薯贯洞,10323,78,58,59,65.0
砸摇铅,10315,70,86,38,64.66666666666667
亦蝶史,10301,83,74,36,64.33333333333333
反父呸,10345,54,40,99,64.33333333333333
芜卸僻,10319,14,80,98,64.0
前壕陆,10332,20,80,91,63.666666666666664
羚八涅,10339,62,64,63,63.0
嗽遂剪,10348,11,94,82,62.333333333333336
秽吗诲,10349,46,76,56,59.333333333333336
詹厅按,10346,67,35,73,58.333333333333336
痕怪颜,10329,85,25,64,58.0
焉掇印,10302,82,44,47,57.666666666666664
短用两,10322,23,68,80,57.0
稗完册,10305,76,70,25,57.0
巫涡错,10333,42,82,47,57.0
喀齐接,10330,98,32,40,56.666666666666664
擞碰侈,10312,15,93,61,56.333333333333336
岭歹伶,10306,49,77,37,54.333333333333336
嘿夏,10309,95,37,29,53.666666666666664
坯弧普,10350,62,21,74,52.333333333333336
盖肠炼,10326,64,39,52,51.666666666666664
宜名堆,10304,37,84,32,51.0
灿徊钱,10337,26,76,49,50.333333333333336
惫横锣,10314,51,19,81,50.333333333333336
故耐符,10321,43,16,88,49.0
肠挤羞,10331,27,63,56,48.666666666666664
具霞良,10308,67,15,60,47.333333333333336
葱璃楼,10334,32,17,91,46.666666666666664
缎如穿,10344,36,32,64,44.0
偶管半,10335,13,75,36,41.333333333333336
舔歹鄂,10313,21,55,47,41.0
沮荒桔,10310,36,64,22,40.666666666666664
阐擂揩,10328,75,20,24,39.666666666666664
薄另勋,10320,11,45,26,27.333333333333332
洞对真,10303,26,31,14,23.666666666666668
